Date,total_dollar_oi
01-01-2021,2082951065.3649821
02-01-2021,2156018754.671783
03-01-2021,2397092951.002466
04-01-2021,2179848127.585017
05-01-2021,2310461037.299544
06-01-2021,2462611668.388965
07-01-2021,2616014034.6972156
08-01-2021,2442132938.0320277
09-01-2021,2823334979.5086365
10-01-2021,2672307343.4881115
11-01-2021,2039550713.683543
12-01-2021,1880371587.7634287
13-01-2021,2239681815.7925744
14-01-2021,2353845221.155308
15-01-2021,2323739701.5990076
16-01-2021,2470699589.686665
17-01-2021,2472038980.4622297
18-01-2021,2610635541.1585803
19-01-2021,2656748184.075394
20-01-2021,2615926315.1008406
21-01-2021,2164634225.3131804
22-01-2021,2187760483.80578
23-01-2021,2264953439.6601214
24-01-2021,2463763788.0150957
25-01-2021,2421203894.1202054
26-01-2021,2384352301.1712255
27-01-2021,2233567482.333329
28-01-2021,2582672886.5226054
29-01-2021,2617961386.4534245
30-01-2021,2839090091.3163066
31-01-2021,2814884211.241323
01-02-2021,2816543810.268351
02-02-2021,3223177940.7061825
03-02-2021,3519531719.602204
04-02-2021,3384175308.665756
05-02-2021,3790732944.5565925
06-02-2021,3856111480.134403
07-02-2021,3487624102.4623284
08-02-2021,4199106332.276266
09-02-2021,4388691213.875725
10-02-2021,4198175540.0026436
11-02-2021,4722823727.789881
12-02-2021,4992512699.552017
13-02-2021,5058740621.41113
14-02-2021,5062917293.144196
15-02-2021,4401630317.729798
16-02-2021,4410196945.273064
17-02-2021,4995159217.7552
18-02-2021,5068587366.394286
19-02-2021,5538747357.745329
20-02-2021,5139101725.923444
21-02-2021,5273507222.2205925
22-02-2021,4252532298.435445
23-02-2021,3238141034.3346815
24-02-2021,3430979089.8169565
25-02-2021,3343513545.818317
26-02-2021,3175938161.8496895
27-02-2021,3226957298.320978
28-02-2021,3254352335.133284
01-03-2021,3559850629.410126
02-03-2021,3577077832.4548903
03-03-2021,3718433169.652345
04-03-2021,3603571053.245922
05-03-2021,3541023773.317811
06-03-2021,3697618246.5794144
07-03-2021,3956639316.6612244
08-03-2021,4417104076.850729
09-03-2021,4772052577.607919
10-03-2021,4632692676.13829
11-03-2021,4930612240.743956
12-03-2021,4627524993.140041
13-03-2021,5288244715.128552
14-03-2021,5093903684.963151
15-03-2021,4662924907.668905
16-03-2021,4835763302.536913
17-03-2021,5064991319.502136
18-03-2021,4987380539.673834
19-03-2021,5123034374.162016
20-03-2021,5197633975.513424
21-03-2021,5099602483.78129
22-03-2021,4839331966.72342
23-03-2021,4918227498.79412
24-03-2021,4375227759.906227
25-03-2021,4324344448.078414
26-03-2021,4677438170.655943
27-03-2021,4709166518.959994
28-03-2021,4732677393.654976
29-03-2021,5192936491.732967
30-03-2021,5539520392.867468
31-03-2021,5618288193.109091
01-04-2021,5745743029.902203
02-04-2021,6190422481.132927
03-04-2021,5794404847.612003
04-04-2021,6096238666.877775
05-04-2021,6615714486.7943
06-04-2021,6584679158.932759
07-04-2021,5989135215.947914
08-04-2021,6280214703.671972
09-04-2021,6266790606.066088
10-04-2021,6771462652.776331
11-04-2021,6993155367.595974
12-04-2021,7345082954.14876
13-04-2021,8074675766.844238
14-04-2021,8053250517.911249
15-04-2021,8443955538.06007
16-04-2021,8054056085.862432
17-04-2021,7876916286.004625
18-04-2021,5413252427.758762
19-04-2021,5127207309.329341
20-04-2021,5408392495.255061
21-04-2021,5256133224.628448
22-04-2021,5126478636.979589
23-04-2021,4760274138.081181
24-04-2021,4596591668.107061
25-04-2021,4649529966.294239
26-04-2021,4885963357.255642
27-04-2021,5230677249.594358
28-04-2021,5354358790.555655
29-04-2021,5557567894.374897
30-04-2021,6178892795.477174
01-05-2021,6543604872.621711
02-05-2021,6470254242.3427105
03-05-2021,7195144421.262718
04-05-2021,6395153569.171137
05-05-2021,7388222062.050659
06-05-2021,7663290237.471365
07-05-2021,7585492948.184246
08-05-2021,7985493562.380787
09-05-2021,7881916792.475081
10-05-2021,6805241099.633688
11-05-2021,7215572250.6446705
12-05-2021,6447210378.755697
13-05-2021,6191120083.814825
14-05-2021,6468358137.55812
15-05-2021,6337382200.498114
16-05-2021,6413961468.758469
17-05-2021,6097590053.341265
18-05-2021,6229441134.428624
19-05-2021,2801337999.2909317
20-05-2021,3141049558.215477
21-05-2021,3037907632.0125613
22-05-2021,2906775685.3454647
23-05-2021,2809178831.2075753
24-05-2021,3327826116.005517
25-05-2021,3350550106.19624
26-05-2021,3676882724.961397
27-05-2021,3503694237.582044
28-05-2021,3431449163.9474487
29-05-2021,3407117762.5317945
30-05-2021,3519068046.679547
31-05-2021,3803807098.3238497
01-06-2021,3814372677.5275793
02-06-2021,4141337318.6131806
03-06-2021,4587298501.123711
04-06-2021,4057074347.2039757
05-06-2021,4065688373.1762447
06-06-2021,4202750424.9472194
07-06-2021,4081917396.884634
08-06-2021,3984132910.526477
09-06-2021,4417210148.666374
10-06-2021,4019665548.112737
11-06-2021,4070032423.9777846
12-06-2021,3999217577.75737
13-06-2021,4428701792.617388
14-06-2021,4537663883.700902
15-06-2021,4515984541.407429
16-06-2021,4456590272.221348
17-06-2021,4586039704.730742
18-06-2021,4262681297.8210397
19-06-2021,4231488288.6773634
20-06-2021,4354461193.942526
21-06-2021,3541585901.0338798
22-06-2021,3481169987.4515934
23-06-2021,3676981465.863852
24-06-2021,3991796696.232605
25-06-2021,3558749380.4193277
26-06-2021,3756409882.2272663
27-06-2021,3961085842.6925335
28-06-2021,4028083119.361539
29-06-2021,4318849997.958955
30-06-2021,4230394742.935794
01-07-2021,4009964484.1931963
02-07-2021,4124288494.678111
03-07-2021,4429783912.158146
04-07-2021,4569805007.028885
05-07-2021,4309696342.921272
06-07-2021,4441749745.148598
07-07-2021,4583655857.545857
08-07-2021,4396454499.637433
09-07-2021,4635147109.842472
10-07-2021,4556410322.786596
