Date,altcoin_dollar_oi
01-01-2021,672182486.7407023
02-01-2021,670885305.0969142
03-01-2021,783568973.6882961
04-01-2021,709818294.2661874
05-01-2021,752851723.411739
06-01-2021,841103144.9056249
07-01-2021,855751786.1286759
08-01-2021,829571408.6724646
09-01-2021,973818232.1522539
10-01-2021,905413537.9934415
11-01-2021,667424694.5283175
12-01-2021,668518310.2005923
13-01-2021,774737691.1084918
14-01-2021,826188400.0462006
15-01-2021,840100508.9757373
16-01-2021,957282026.3076552
17-01-2021,1013088165.4007186
18-01-2021,1050314213.8466407
19-01-2021,942470099.3749642
20-01-2021,924388961.3807892
21-01-2021,758899212.8472505
22-01-2021,796294683.3050401
23-01-2021,886342323.343202
24-01-2021,914666891.3387232
25-01-2021,863472887.0172977
26-01-2021,866923610.3712251
27-01-2021,816882532.340163
28-01-2021,966475558.5089855
29-01-2021,977572029.6061547
30-01-2021,1161287001.3882465
31-01-2021,1182893919.0749893
01-02-2021,1221830709.289472
02-02-2021,1264226993.980602
03-02-2021,1455300237.9054098
04-02-2021,1443232073.750827
05-02-2021,1640772666.0467696
06-02-2021,1610180489.1431472
07-02-2021,1501798005.848373
08-02-2021,1708352743.083656
09-02-2021,1943319258.8620691
10-02-2021,1949628724.3249037
11-02-2021,2171674785.06791
12-02-2021,2389137006.9743776
13-02-2021,2554956809.493692
14-02-2021,2367744204.764764
15-02-2021,1955943241.6691184
16-02-2021,1941973389.7338636
17-02-2021,2187745515.891411
18-02-2021,2305754270.9617667
19-02-2021,2618012463.330265
20-02-2021,2415631301.2896338
21-02-2021,2511797596.1482725
22-02-2021,1966369152.814228
23-02-2021,1440155291.434142
24-02-2021,1497113383.1985378
25-02-2021,1435566934.7135541
26-02-2021,1407494402.6709871
27-02-2021,1452424246.9014354
28-02-2021,1403679232.198494
01-03-2021,1590409295.6605613
02-03-2021,1567476264.8455803
03-03-2021,1655056732.654245
04-03-2021,1610901717.5851653
05-03-2021,1564655809.0057716
06-03-2021,1593378254.7442143
07-03-2021,1744697612.9245043
08-03-2021,1922182678.0885394
09-03-2021,2234624725.190105
10-03-2021,2051767570.188218
11-03-2021,2175969735.0899596
12-03-2021,2068152690.0858192
13-03-2021,2273020058.4155354
14-03-2021,2182649719.9253664
15-03-2021,2082613811.3606405
16-03-2021,2244552146.9220967
17-03-2021,2469899751.891417
18-03-2021,2429564004.7203135
19-03-2021,2557970788.6221952
20-03-2021,2624399822.356204
21-03-2021,2579229589.481119
22-03-2021,2407556324.8569126
23-03-2021,2385320300.6275396
24-03-2021,2090172363.124605
25-03-2021,1970111139.1880136
26-03-2021,2233124710.6486626
27-03-2021,2305423880.233009
28-03-2021,2377722725.032592
29-03-2021,2578207821.303132
30-03-2021,2805687787.621345
31-03-2021,2812333453.77404
01-04-2021,2984628023.6345034
02-04-2021,3217195136.6493464
03-04-2021,2934847787.303627
04-04-2021,3218734917.6680255
05-04-2021,3696065774.7001367
06-04-2021,3791212456.4103394
07-04-2021,3239861067.558903
08-04-2021,3553970036.291565
09-04-2021,3623978658.5740113
10-04-2021,3948830966.0571275
11-04-2021,4105748078.9720125
12-04-2021,4383493484.95273
13-04-2021,4759822679.595745
14-04-2021,4791690955.459164
15-04-2021,5198391008.471086
16-04-2021,5052961633.982661
17-04-2021,4934646582.401784
18-04-2021,3192616571.1308565
19-04-2021,3028990274.002706
20-04-2021,3136313486.644038
21-04-2021,3011389055.868413
22-04-2021,2769392631.6782093
23-04-2021,2478722151.1948996
24-04-2021,2325294467.699141
25-04-2021,2389327761.5178638
26-04-2021,2654526828.831908
27-04-2021,2927291639.5221095
28-04-2021,2984371355.030734
29-04-2021,3126568737.3383374
30-04-2021,3523135300.370504
01-05-2021,3742348298.59875
02-05-2021,3669409265.3945827
03-05-2021,4063995991.927558
04-05-2021,3597834547.7377305
05-05-2021,4480792513.335734
06-05-2021,4735512973.461222
07-05-2021,4753378276.306147
08-05-2021,4794098289.382367
09-05-2021,4821492728.839243
10-05-2021,3813794449.6534295
11-05-2021,4181213993.956693
12-05-2021,3497824135.308486
13-05-2021,3393522989.2219553
14-05-2021,3681667142.9611664
15-05-2021,3541130406.26044
16-05-2021,3584816154.8872633
17-05-2021,3318008378.4227653
18-05-2021,3466749561.9989614
19-05-2021,1456699424.3945227
20-05-2021,1666652421.9526882
21-05-2021,1483684783.4869466
22-05-2021,1381076607.6183913
23-05-2021,1279517021.083569
24-05-2021,1576211291.108111
25-05-2021,1546553446.407506
26-05-2021,1721309227.4224348
27-05-2021,1637028881.2403708
28-05-2021,1484316956.7140844
29-05-2021,1467439109.2798076
30-05-2021,1540615263.2211368
31-05-2021,1666683879.0417604
01-06-2021,1731784773.7260742
02-06-2021,1910796499.2653155
03-06-2021,2064756849.5204818
04-06-2021,1806256009.2484844
05-06-2021,1785131274.7727327
06-06-2021,1825253942.4018128
07-06-2021,1677264321.13792
08-06-2021,1611823663.663103
09-06-2021,1697645456.5650415
10-06-2021,1612686198.716991
11-06-2021,1562102673.320204
12-06-2021,1571845211.0378623
13-06-2021,1683338130.9859667
14-06-2021,1750600332.781432
15-06-2021,1729715467.6269984
16-06-2021,1694180313.8969777
17-06-2021,1732770617.9680033
18-06-2021,1635301311.9803498
19-06-2021,1606512289.4193082
20-06-2021,1622700186.8390734
21-06-2021,1273574940.9711115
22-06-2021,1203015391.1255622
23-06-2021,1329106423.4511719
24-06-2021,1438500659.68116
25-06-2021,1298178784.011136
26-06-2021,1355263704.2555957
27-06-2021,1412447794.3925333
28-06-2021,1427991278.6734176
29-06-2021,1569333831.050276
30-06-2021,1533253327.1852741
01-07-2021,1441003219.7659276
02-07-2021,1499032713.3508925
03-07-2021,1586689325.3328066
04-07-2021,1666867695.3445172
05-07-2021,1563156911.9045563
06-07-2021,1682035965.9550102
07-07-2021,1784355699.792717
08-07-2021,1569846543.0590987
09-07-2021,1680303858.3759036
10-07-2021,1664569493.068624
11-07-2021,1723853227.1234117
12-07-2021,1710229207.8410301
13-07-2021,1673724472.0077262
14-07-2021,1694575024.1683564
15-07-2021,1644003300.9701355
16-07-2021,1590762472.9452853
17-07-2021,1620900585.2532215
18-07-2021,1611698280.5558844
19-07-2021,1600137667.4302287
20-07-2021,1473467923.066906
21-07-2021,1590832269.0684366
22-07-2021,1673062806.6699393
23-07-2021,1739686777.6044853
24-07-2021,1792532378.716239
25-07-2021,1809426843.4498277
26-07-2021,1710711021.8519425
27-07-2021,1795993085.6879103
28-07-2021,1833946626.336845
29-07-2021,1968322492.9233425
30-07-2021,2025983297.8489199
31-07-2021,2108494174.980736
01-08-2021,1912015249.560707
02-08-2021,1996697406.03178
03-08-2021,1965900974.4884026
04-08-2021,2127319761.5323882
05-08-2021,2153838855.657868
06-08-2021,2322098645.9251623
07-08-2021,2482096443.493178
08-08-2021,2274427853.048892
09-08-2021,2441671655.8948975
10-08-2021,2678900734.5038223
11-08-2021,2940154602.251004
12-08-2021,2748247636.899849
13-08-2021,3122477250.143203
14-08-2021,3381304232.5003266
15-08-2021,3613230617.3244834
16-08-2021,3522815081.9785013
17-08-2021,3202556718.034873
18-08-2021,3136529611.303234
19-08-2021,3616924467.5002003
20-08-2021,3908208893.909377
