Date,Value
01-01-2021,
02-01-2021,
03-01-2021,
04-01-2021,
05-01-2021,
06-01-2021,
07-01-2021,
08-01-2021,
09-01-2021,
10-01-2021,
11-01-2021,
12-01-2021,
13-01-2021,
14-01-2021,
15-01-2021,
16-01-2021,
17-01-2021,
18-01-2021,
19-01-2021,
20-01-2021,
21-01-2021,
22-01-2021,
23-01-2021,
24-01-2021,
25-01-2021,
26-01-2021,
27-01-2021,
28-01-2021,
29-01-2021,
30-01-2021,
31-01-2021,
01-02-2021,
02-02-2021,
03-02-2021,
04-02-2021,
05-02-2021,
06-02-2021,
07-02-2021,
08-02-2021,
09-02-2021,
10-02-2021,
11-02-2021,
12-02-2021,
13-02-2021,
14-02-2021,
15-02-2021,
16-02-2021,
17-02-2021,
18-02-2021,
19-02-2021,
20-02-2021,
21-02-2021,
22-02-2021,
23-02-2021,
24-02-2021,
25-02-2021,
26-02-2021,
27-02-2021,
28-02-2021,
01-03-2021,
02-03-2021,
03-03-2021,
04-03-2021,
05-03-2021,
06-03-2021,
07-03-2021,
08-03-2021,
09-03-2021,
10-03-2021,
11-03-2021,
12-03-2021,
13-03-2021,
14-03-2021,
15-03-2021,
16-03-2021,
17-03-2021,
18-03-2021,
19-03-2021,
20-03-2021,
21-03-2021,
22-03-2021,
23-03-2021,
24-03-2021,
25-03-2021,
26-03-2021,
27-03-2021,
28-03-2021,
29-03-2021,
30-03-2021,
31-03-2021,
01-04-2021,92.64705882352942
02-04-2021,92.64705882352942
03-04-2021,94.11764705882352
04-04-2021,91.17647058823529
05-04-2021,91.17647058823529
06-04-2021,94.11764705882352
07-04-2021,92.64705882352942
08-04-2021,95.58823529411765
09-04-2021,91.17647058823529
10-04-2021,91.17647058823529
11-04-2021,92.64705882352942
12-04-2021,94.11764705882352
13-04-2021,91.17647058823529
14-04-2021,92.64705882352942
15-04-2021,95.58823529411765
16-04-2021,94.11764705882352
17-04-2021,95.58823529411765
18-04-2021,94.11764705882352
19-04-2021,92.64705882352942
20-04-2021,92.64705882352942
21-04-2021,91.30434782608695
22-04-2021,91.30434782608695
23-04-2021,84.05797101449275
24-04-2021,82.6086956521739
25-04-2021,85.71428571428571
26-04-2021,85.91549295774648
27-04-2021,88.73239436619718
28-04-2021,88.73239436619718
29-04-2021,90.14084507042254
30-04-2021,84.50704225352112
01-05-2021,87.32394366197182
02-05-2021,85.91549295774648
03-05-2021,88.73239436619718
04-05-2021,88.73239436619718
05-05-2021,88.73239436619718
06-05-2021,84.50704225352112
07-05-2021,87.32394366197182
08-05-2021,85.91549295774648
09-05-2021,88.73239436619718
10-05-2021,84.50704225352112
11-05-2021,84.50704225352112
12-05-2021,80.28169014084507
13-05-2021,77.46478873239437
14-05-2021,83.09859154929578
15-05-2021,87.32394366197182
