Date,portfolio_value,portfolio_cum_return,benchmark_cum_return,ETH_cum_return,SOL_cum_return,LINK_cum_return,OP_cum_return,IMX_cum_return,MKR_cum_return,UNI_cum_return,FET_cum_return,DOGE_cum_return,ETH_position,SOL_position,LINK_position,OP_position,IMX_position,MKR_position,UNI_position,FET_position,DOGE_position
2023-10-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2023-10-02,100.0,0.0,-0.017553560470161877,-0.04047897066718298,-0.01949895272406965,-0.0715332340838356,-0.012567056707799229,-0.058266725043850776,-0.01907366650124731,-0.04051355855918637,-0.05247443941072272,-0.017929237819044208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-03,100.0,0.0,-0.020235423886587278,-0.04448280778336133,-0.011905802139105859,-0.07802429108150588,-0.06355431084446561,-0.07537646884996818,-0.038439433730100725,-0.0626727253945989,-0.07026968959012003,-0.02859494664993878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-04,100.0,0.0,-0.007455137368701847,-0.0495857498657889,-0.02901853729608206,-0.045702094597365184,-0.057001221155501325,-0.07286341251352946,-0.026326731972279083,-0.07359556986775517,-0.06352464204451469,-0.026980868397680102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-05,100.0,0.0,-0.020806945126102594,-0.0705578779691447,-0.04792423637196985,-0.07113213164171484,-0.07810732890942484,-0.09993104873783898,-0.007688084556896624,-0.07525365167410925,-0.08143486895159435,-0.03592173005608246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-06,100.0,0.0,-0.0017963626959514034,-0.05074308042982745,-0.017285814148211287,-0.04909549592000184,-0.07492892922281369,-0.0901537752755045,-0.026134113631304134,-0.05581730520920525,-0.041305072155193745,-0.027961989813032218,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-07,98.92830378326191,-0.010716962167380939,-0.0006797530742483904,-0.05727223283198535,-0.023039670376942545,-0.0639095026614146,-0.08508349010938365,-0.08943488662403687,-0.04931367455874369,-0.060991278776634905,-0.06027128289344896,-0.027503056314353125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-08,98.75465413586915,-0.012453458641308535,-0.0022114299961493167,-0.05782745298212577,-0.024754536702028207,-0.04394107177606432,-0.09301035862173113,-0.09129730752689502,-0.052352873833503066,-0.06677048294655685,-0.06747204945572927,-0.03457664519553516,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-09,93.7257805306807,-0.06274219469319309,-0.014244809694143323,-0.08882388868842794,-0.0720781577673818,-0.09491906488674917,-0.12959417737380785,-0.12884152184510167,-0.07105053482703627,-0.11028191079888805,-0.11726376200680333,-0.0698495016459707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-10,93.7257805306807,-0.06274219469319309,-0.02150955904993157,-0.09579906184269582,-0.07263532328562983,-0.09699123986103808,-0.11890682848736689,-0.12063387849298446,-0.06975454390128055,-0.11518698407831562,-0.1316907397603928,-0.06595667266905703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
