Date 2025-01-07
token 1D 1W 1M 1Q 1Y
BTC -5 4 -4 61 110
ETH -8 1 -15 42 45
XRP -5 9 -12 331 303
SOL -7 7 -15 46 104
BNB -4 -1 -6 24 132
DOGE -11 11 -24 231 342
SUI -5 16 15 163 503
USDC 0 0 0 0 0
ADA -9 17 -16 193 94
TON -7 -3 -22 4 96
WLD -9 11 -38 38 -7
TRX -6 -1 -21 59 146
LINK -8 7 -19 104 57
XLM -5 25 -14 367 262
AVAX -10 9 -27 52 13
ENA -9 14 3 285 35
HBAR -7 8 -11 480 277
ONDO -10 2 -18 102 565
UNI -9 2 -28 68 127
1000SHIB -9 3 -32 31 126
APT -5 11 -33 20 17
DOT -8 6 -32 73 -1
FIL -9 8 -32 52 -2
TAO -7 13 -30 -11 -20
MOVE -10 13 33 33 33
BCH -9 1 -29 36 79
LTC -8 -1 -23 61 54
JUP -9 5 -36 17 29
ARB -9 14 -29 57 -55
OP -9 8 -28 22 -48
1000PEPE -9 -7 -28 101 1462
OM -3 1 -9 170 1256
NEAR -9 9 -31 17 67
EIGEN -9 1 -26 -4 -11
ICP -8 12 -24 38 -13
ETC -8 4 -29 43 23
TIA -10 6 -41 -2 -67
ZRO -9 4 -20 35 52
AAVE -9 -1 9 119 219
POL -9 4 -33 28 15
STRK -9 -1 -40 20 -76
RENDER -7 19 -21 59 19
ZK -8 9 -21 61 -5
SEI -9 4 -40 1 -39
VET -9 9 -31 114 57
FET -8 11 -30 8 120
VIRTUAL -4 -5 138 138 138
PYTH -10 1 -31 18 44
XMR -6 -1 -13 26 34
ENS -9 1 -19 106 156
PENGU -12 13 31 31 31
MORPHO 0 -3 59 102 102
ALGO -8 11 -24 217 103
RAYDIUM -1 12 12 12 12
ME -10 -5 -47 -47 -47
JTO -7 -11 -22 59 89
KAS -7 -1 -40 -14 3
1000BONK -10 1 -32 53 118
GRASS -6 14 -6 -10 -10
IO -7 16 -4 99 -18
W -10 -6 -30 -10 -79
ATOM -8 9 -33 64 -30
IMX -9 -1 -36 -9 -31
STX -10 4 -41 -4 -12
INJ -7 22 -28 25 -40
GRT -9 10 -31 44 38
MOCA -13 -7 55 55 55
THETA -9 2 -24 91 126
BIO -11 -22 -22 -22 -22
ETHFI -12 -4 -29 52 -33
AI16Z -17 -22 -22 -22 -22
CRV -9 0 -25 248 73
AERO -8 3 -38 -23 -23
SAND -8 15 -31 155 32
RONIN -8 -4 -20 26 -30
WIF -10 -1 -50 -23 415
VANA -9 -3 -52 -52 -52
RUNE -10 -2 -41 -6 -7
LDO -11 2 -18 72 -51
1000FLOKI -11 0 -31 35 511
JASMY -9 10 -29 88 563
AXS -9 4 -31 46 -13
EOS -9 6 -37 78 16
GALA -10 9 -38 88 52
QNT -6 2 -33 64 -7
IOTA -9 20 -27 190 45
UXLINK -10 6 132 198 299
BEAMX -10 -1 -31 71 40
ARKM -10 7 -38 12 200
DEXE -5 2 4 4 4
NEO -9 8 -31 46 27
SAGA -12 -2 -49 -41 -79
RSR -11 10 -18 127 491
SUPER -9 3 -35 27 175
MKR -8 0 -32 11 -19
XTZ -8 2 -25 102 48
DRIFT -5 -4 -15 -2 -2
KMNO -16 -3 -28 -28 -28
DYM -10 1 -48 -4 -77
BRETT -10 12 -37 56 48
